clinic,Country,Country Code,Continent,City,Location,Lat,Lng,Languages,Review Score,Total Score,Total Reviews,Source,local_currency
nielsen-haarkliniek,Netherlands,NL,Europe,Den Haag,"Straat 5, 5082 DF",52.04392368,4.361475252,"English, Dutch",4.4,5,166,"https://www.google.com/maps/place/Nielsen+Haarkliniek/@52.0437918,4.3610032,17z/data=!4m8!3m7!1s0x47c5b78954f1e479:0xcfd7e21c4f7b4009!8m2!3d52.0437918!4d4.3610032!9m1!1b1!16s%2Fg%2F11h4fj_hzq?entry=ttu&g_ep=EgoyMDI0MTAyMy4wIKXMDSoASAFQAw%3D%3D",EUR
zantman-kliniek,Netherlands,NL,Europe,Rotterdam,"Dorpstraat whatever, 5022 DX",51.92642291,4.460071613,"English, Dutch, Spanish",4.85,5,1569,https://www.klantenvertellen.nl/reviews/1040209/zantman_kliniek,EUR
dr.-acar---cosmedica,Turkey,TR,Asia,Istanbul,"Nisbetiye, Aytar Cad. Başlık Sokak No:3, 34340 Etiler",41.07461422,29.02079708,"English, French, Italian, Spanish, Dutch, Polish, Russian, Portugese",5,5,"2,459",https://www.provenexpert.com/en-us/haartransplantation-istanbul-dr-acar-aus-istanbul/,EUR
elithair,Turkey,TR,Asia,Istanbul,"Hamidiye, Cendere Cad. 103 – 1 T4 Blok, 34408 Kağıthane/İstanbul, Türkiye",41.102882,28.98228261,"English, German, French, Spanish, Italian, Portugese, Arabic",4.6,5,1316,"https://www.google.com/maps/place/Elithair+Transplant/@41.1027618,28.9794799,811m/data=!3m1!1e3!4m6!3m5!1s0x14caa7605d3b0973:0xf5d2f0479d4dda41!8m2!3d41.1027258!4d28.9822116!16s%2Fg%2F11d_xlps43?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",GBP
sydney-hair-transplant,Australia,AU,Oceania,Sydney,"37/256 Chapel Rd, Bankstown NSW 2200, Australia",-33.92031544,151.0310642,English,3,5,8,"https://www.google.com/maps/place/Sydney+Hair+Transplant/@-33.919906,151.031107,1683m/data=!3m1!1e3!4m6!3m5!1s0x6b12b02e0f67e129:0x14e74c82b09c4302!8m2!3d-33.9204223!4d151.0311286!16s%2Fg%2F11b66c_ztj?hl=en&entry=ttu&g_ep=EgoyMDI0MTAyMy4wIKXMDSoASAFQAw%3D%3D",AUD
hair-transplants-melbourne,Australia,AU,Oceania,Melbourne,"281 Moreland Rd, Coburg VIC 3058",-37.75246171,144.9579024,English,4.6,5,151,"https://www.google.com/maps/place/Hair+Transplants+Melbourne+-+Dr+Paul+Spano+%26+Robinson/@-37.754431,144.957787,102624m/data=!3m1!1e3!4m15!1m8!3m7!1s0x6ad65b55861c0047:0x26d09cb5ea79cf68!2s281+Moreland+Rd,+Coburg+VIC+3058,+Australia!3b1!8m2!3d-37.754431!4d144.9577869!16s%2Fg%2F11bw41d9qn!3m5!1s0x6ad65c8b2c35bb3d:0x1c092ea61433d4f1!8m2!3d-37.7546333!4d144.9575591!16s%2Fg%2F11c6lwsq_y?hl=en&entry=ttu&g_ep=EgoyMDI0MTAyMy4wIKXMDSoASAFQAw%3D%3D",AUD
ashley-and-martin-auckland,New Zeeland,NZ,Oceania,"Auckland, Christchurch, Hamilton, Wellington",,,,English,4.5,5,172,"https://www.google.com/maps/place/Ashley+and+Martin/@-36.8664362,174.7745376,811m/data=!3m2!1e3!4b1!4m6!3m5!1s0x6d0d47fbb3818bff:0x79777812d8613572!8m2!3d-36.8664362!4d174.7771125!16s%2Fg%2F1wn33vvq?entry=ttu&g_ep=EgoyMDI0MTAyOS4wIKXMDSoASAFQAw%3D%3D",NZD
the-knudsen-clinic,New Zeeland,NZ,Oceania,Auckland,"7 Morgan Street, Newmarket, Auckland, 1023",-36.8644075,174.7769356,English,3,5,9,"https://www.google.com/maps/place/The+Knudsen+Clinic+%7C+Auckland/@-36.8645792,174.7744573,811m/data=!3m2!1e3!4b1!4m6!3m5!1s0x6d0d3bcc0b30ee61:0x9a8df9b4b50ed86a!8m2!3d-36.8645792!4d174.7770322!16s%2Fg%2F1tdp56w6?entry=ttu&g_ep=EgoyMDI0MTAyOS4wIKXMDSoASAFQAw%3D%3D",NZD
new-zealand-hair-transplantation-institute,New Zeeland,NZ,Oceania,Auckland,"96B Level 1, Carlton Gore Road, Newmarket, Auckland",-36.8644075,174.7769356,English,5,5,10,"https://www.google.com/maps/place/Gro+Clinics+%7C+Hair+Transplant+%26+Hair+Loss+Treatment+Auckland/@-36.8647819,174.7725271,811m/data=!3m2!1e3!4b1!4m6!3m5!1s0x6d0d4750a79099f9:0x2e01000d2e0b085!8m2!3d-36.8647819!4d174.775102!16s%2Fg%2F11hdnjsfhm?entry=ttu&g_ep=EgoyMDI0MTAyOS4wIKXMDSoASAFQAw%3D%3D",NZD
advanced-hair-studio,New Zeeland,NZ,Oceania,Auckland,"30 Saint Benedicts Street, Eden Terrace, Auckland 1010, New Zealand",-36.86234143,174.7602871,English,3.2,5,29,"https://www.google.com/maps/place/Advanced+Hair+Studio/@-36.8625303,174.7577122,811m/data=!3m2!1e3!4b1!4m6!3m5!1s0x6d0d47c2f8593853:0x3fe91af414f4c851!8m2!3d-36.8625303!4d174.7602871!16s%2Fg%2F1tdkgv71?entry=ttu&g_ep=EgoyMDI0MTAyOS4wIKXMDSoASAFQAw%3D%3D",NZD
