slug,ClinicName,ClinicImgName,Website,FreeOnlineConsultation,OnlineConsultationAvailable,FormAvailable,FormURL,LinkedIn,Instagram,Facebook,Youtube,TikTok,X,Whatsapp,Organisations
nielsen-haarkliniek,Nielsen Haarkliniek,NielsenHaarkliniek.png,https://nielsenhaarkliniek.nl,Yes,Yes,Yes,https://nielsenhaarkliniek.nl/gratis-consult/,,,,,,,,"xx, yy, zz"
zantman-kliniek,Zantman Kliniek,ZantmanKliniek.png,https://www.zantmankliniek.nl,Yes,Yes,Yes,https://www.zantmankliniek.nl/en/hair-transplant/treatment/consultation/,,,,,,,,
dr.-acar---cosmedica,Dr. Acar - Cosmedica,DrAcar_cosmedia.png,https://cosmedica.com,Yes,Yes,Yes,https://cosmedica.com/price/#pll_switcher,,,,,,,,
elithair,Elithair,Elithair.png,https://elithair.co.uk,Yes,Yes,Yes,https://elithair.co.uk/hairform/,,,,,,,,
sydney-hair-transplant,Sydney Hair Transplant,SydneyHairTransplant.png,https://sydneyhairtransplant.com.au,TBD,TBD,Yes,https://sydneyhairtransplant.com.au/service/fue-hair-transplant/,,,,,,,,
hair-transplants-melbourne,Hair Transplants Melbourne,HairTransplantMelbourne.png,https://hairtransplantsmelbourne.com.au,Yes,Yes,Yes,https://hairtransplantsmelbourne.com.au/lp/melbourne-hair-transplant/,,,,,,,,
ashley-and-martin-auckland,Ashley and Martin Auckland,AshleyandMartin.png,https://ashleyandmartin.co.nz,TBD,TBD,TBD,,,,,,,,,
the-knudsen-clinic,The Knudsen Clinic,KnudsenClinic.png,https://knudsen.co.nz,TBD,TBD,Yes,https://knudsen.co.nz/contact-locations/,,,,,,,,
new-zealand-hair-transplantation-institute,New Zealand Hair Transplantation Institute,GroClinics.png,https://groclinics.co.nz,TBD,TBD,Yes,https://groclinics.co.nz/pages/get-in-touch,,,,,,,,
advanced-hair-studio,Advanced Hair Studio,AdvancedHairStudio.png,https://www.advancedhair.co.nz,TBD,TBD,Yes,https://www.advancedhair.co.nz,,,,,,,,
o2-clinic,o2 Clinic,02Clinic.png,https://o2clinic.be,TBD,TBD,TBD,,,,,,,,,
wellness-kliniek,Wellness Kliniek,WelnessKliniekBelgie.png,https://www.wellnesskliniek.com,TBD,TBD,Yes,https://www.wellnesskliniek.nl/nl/contact,,,,,,,,
