clinic,slug,name,img,description,LinkedIn,Website
advanced-hair-clinics,anastasios-vekris,Anastasios Vekris,Anastasios Vekris,,,https://www.advancedhairclinics.gr/en/plastic-surgeon-dr-anastasios-vekris
advanced-hair-clinics,amalia-tsiatoura,Amalia Tsiatoura,Amalia-Tsiatoura,,,https://www.advancedhairclinics.gr/en/dermatologist-dr-amalia-tsiatoura
advanced-hair-clinics,konstantina-mamali,Konstantina Mamali,Konstantina-Mamali,,,https://www.advancedhairclinics.gr/en/dermatologist-dr-konstantina-mamali
advanced-hair-clinics,antonia-andriopoulou,Antonia Andriopoulou,Antonia-Andriopoulou,,,https://www.advancedhairclinics.gr/en/doctor-antonia-andriopoulou
advanced-hair-clinics,sevasti-afantenou,Sevasti Afantenou,Sevasti-Afantenou,,,https://www.advancedhairclinics.gr/en/dermatologist-sevasti-afantenou
advanced-hair-clinics,athanasia-zambeta,Athanasia Zambeta,Athanasia-Zambeta,,,https://www.advancedhairclinics.gr/en/dermatologist-athanasia-zambeta
advanced-hair-clinics,panagiotis-tragoulias,Panagiotis Tragoulias,Panagiotis-Tragoulias,,,https://www.advancedhairclinics.gr/en/doctor-panagiotis-tragoulias
advanced-hair-clinics,maria-zampoulaki,Maria Zampoulaki,Maria-Zampoulaki,,,https://www.advancedhairclinics.gr/en/doctor-maria-zampoulaki
medartclinic,konstantinos-dionysiou,Konstantinos Dionysiou,,,,
helsinki-clinic,janne-jyr-nki,Janne Jyränki,Janne-Jyränki,,,https://www.helsinkiclinic.fi/janne-jyranki/
tsilosani-clinic,akaki-tsilosani,Akaki Tsilosani,Akaki-Tsilosani,,,https://tsilosaniclinic.com/
talizi,vazha-vadachkoria,Vazha Vadachkoria,Vazha-Vadachkoria,,,https://talizi.ge/team/dr-vazha-vadachkoria/
talizi,ekaterine-kandiashvili,Ekaterine Kandiashvili,Ekaterine-Kandiashvili,,,https://talizi.ge/team/dr-ekaterine-kandiashvili/
talizi,maria-gugava,Maria Gugava,Maria-Gugava,,,https://talizi.ge/team/dr-maria-gugava/
talizi,nino-vadachkoria,Nino Vadachkoria,Nino-Vadachkoria,,,https://talizi.ge/team/dr-nino-vadachkoria/
talizi,salome-vadachkoria,Salome Vadachkoria,Salome-Vadachkoria,,,https://talizi.ge/team/dr-salome-vadachkoria/
hairline-international,irakli-bebiashvili,Irakli Bebiashvili,Irakli-Bebiashvili,,,https://hairline.ge/en
haroj,florian-petin,Florian Petin,Florian-Petin,,,https://www.haroj-clinic.com/en/the-practice.html
haroj,marc-feutren,Marc Feutren,Marc-Feutren,,,https://www.haroj-clinic.com/en/the-practice.html
doctor-and-co,bilal-pruzsina,Bilal Pruzsina,Bilal-Pruzsina,,,https://cliniquedupalais.com/docteur-bilal-pruzsina/
easygreffe,guy-menahem,Guy Menahem,Guy-Menahem,,,https://easygreffe.fr/tarifs/
drbodnar,martial-bodnar,Martial Bodnar,Martial-Bodnar,,,
