slug_clinic,local_price,local_currency,usd_price,Method,Grafts,Package_size
nielsen-haarkliniek,2999,EUR,3128,FUE,1500,S
nielsen-haarkliniek,3999,EUR,4172,FUE,3000,L
nielsen-haarkliniek,5199,EUR,5423,FUE,4000,XL
nielsen-haarkliniek,4149,EUR,4328,DHI,2000,S
nielsen-haarkliniek,5149,EUR,5371,DHI,3000,L
nielsen-haarkliniek,2800,EUR,2921,MICRO FUE,1500,XS
nielsen-haarkliniek,3700,EUR,3860,MICRO FUE,3000,L
nielsen-haarkliniek,4400,EUR,4590,MICRO FUE,4000,XL
zantman-kliniek,4800,EUR,5007,FUE,1500,XS
zantman-kliniek,5500,EUR,5737,FUE,2000,S
zantman-kliniek,5950,EUR,6207,FUE,2500,M
zantman-kliniek,6200,EUR,6468,FUE,3000,L
dr.-acar---cosmedica,2300,EUR,2399,FUE,4000,XL
dr.-acar---cosmedica,3200,EUR,3338,FUE,5500,XXL
dr.-acar---cosmedica,2990,EUR,3119,DHI,4000,XL
dr.-acar---cosmedica,3890,EUR,4058,DHI,5500,XXL
elithair,2700,GBP,3394,DHI,2000,S
elithair,2800,GBP,3520,DHI,2500,M
elithair,2900,GBP,3646,DHI,3000,L
elithair,3100,GBP,3897,DHI,4000,XL
elithair,3300,GBP,4148,DHI,5000,XXL
sydney-hair-transplant,12155,AUD,7599,FUE,1500,XS
sydney-hair-transplant,15428,AUD,9646,FUE,2000,S
sydney-hair-transplant,17160,AUD,10728,FUE,2500,M
sydney-hair-transplant,19360,AUD,12104,FUE,3000,L
hair-transplants-melbourne,14348,AUD,8970,FUE,1500,XS
hair-transplants-melbourne,16846,AUD,10532,FUE,2000,S
hair-transplants-melbourne,19720,AUD,12329,FUE,2500,M
hair-transplants-melbourne,21218,AUD,13265,FUE,3000,L
hair-transplants-melbourne,24056,AUD,15040,FUE,4000,XL
ashley-and-martin-auckland,12000,NZD,6788,FUE,1500,XS
ashley-and-martin-auckland,15500,NZD,8768,FUE,2500,M
the-knudsen-clinic,13000,NZD,7354,FUE,1500,XS
the-knudsen-clinic,20000,NZD,11314,FUE,2500,M
new-zealand-hair-transplantation-institute,12500,NZD,7071,FUE,1500,XS
new-zealand-hair-transplantation-institute,17500,NZD,9900,FUE,2500,M
advanced-hair-studio,9990,NZD,5651,FUE,1500,XS
advanced-hair-studio,12990,NZD,7348,FUE,2500,M
o2-clinic,3250,EUR,3390,FUE,1500,XS
o2-clinic,4350,EUR,4538,FUE,3000,L
o2-clinic,5450,EUR,5685,FUE,4000,XL
